compound	acronym
Benzo[a]pyrene	BaP
"Dibenz[a,h]anthracene"	DBA
"Dibenz[a,h]anthracene-diol_epoxide"	DBA-DE
"benzoaapyrene-7,8-diol-9,10-epoxide"	BPDE
Aflatoxin_B1	AFB1
Aristolochic_acid_I	AAI
"1,2,3_trichloropropane"	1.2.3_TCP
Sodium_arsenite	Arsenic
Nitrobenzanthrone	3-NBA
N-methyl-N-nitrosourea	MNU
Simulated_solar_radiation	SS
"Dibenzo[a,l]pyrene-diol_epoxide"	DBPDE
"Dibenzo[a,l]pyrene"	DBP
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine"	PhIP
"benzoaapyrene-7,8-diol-9,10-epoxide"	BPDE
"Benzo[a]pyrene-7,8-diol-9,10-epoxide"	BPDE
"Dibenzo[a,l]pyrene-diol_epoxide"	DBPDE
Mouse_m_Intestinal_organoid	MIO
"2-hydroxyamino-1-methyl-6-phenylimidazo[4,5-b]pyridine"	N-OH-PhIP
4-Nitroquinoline_N-oxide	4NQO
N-methyl-N-nitro-nitrosoguanidine	MNNG
"9,10-dimethyl-1,2-benzanthracene"	DMBA
Methylnitronitrosoguanidine	MNNG
4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone	NNK
N-ethyl-N-nitrosourea	ENU
Vinylidene_chloride	VC
5-aza-4-thio-2-deoxycytidine	ATC
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone 	CHF
