sample_name	standardized_name
Adrenal_Gland_Ionizing_radiation_Nf1+/-__Exome_Adrenal_Gland_Pheochromocytoma	Mouse_Adrenal_gland_Ionizing_radiation
Blood_Ionizing_radiation___Exome_Hematopoietic_and_Lymphoid_Cell_Neoplasm	Mouse_Blood_Ionizing_radiation
Blood_Ionizing_radiation_Nf1+/-__Exome_Hematopoietic_and_Lymphoid_Cell_Neoplasm	Mouse_Blood_Ionizing_radiation
Esophagus_4-Nitroquinoline_N-oxide__Premalignant_Exome_Premalignant	Mouse_Esophagus_4-Nitroquinoline_N-oxide
Esophagus_4-Nitroquinoline_N-oxide_HPV16_Exome_Skin_Squamous_Cell_Carcinoma	Mouse_Esophagus_HPV_4-Nitroquinoline_N-oxide
Esophagus_4-Nitroquinoline_N-oxide_HPV16-Premalignant_Exome_Premalignant	Mouse_Esophagus_HPV_4-Nitroquinoline_N-oxide
Esophagus_4-Nitroquinoline_N-oxide_HPV38_Premalignant_Exome_Premalignant	Mouse_Esophagus_HPV_4-Nitroquinoline_N-oxide
Esophagus_4-Nitroquinoline_N-oxide_HPV49_Exome_Skin_Squamous_Cell_Carcinoma	Mouse_Esophagus_HPV_4-Nitroquinoline_N-oxide
Esophagus_4-Nitroquinoline_N-oxide_HPV49-Premalignant_Exome_Premalignant	Mouse_Esophagus_HPV_4-Nitroquinoline_N-oxide
Liver_High_fat_diet___Exome_Hepatocellular_Carcinoma	Mouse_Liver_High_fat_diet
Liver_No_Treatment___Exome_Dystal_node	Mouse_Liver_No_treatment
Liver_No_Treatment___Exome_Hepatocellular_Carcinoma	Mouse_Liver_No_treatment
Liver_Pyrrolizidine_Alkaloid__Exome_Hepatocellular_Carcinoma	Mouse_Liver_Pyrrolizidine_Alkaloid
Liver_Theaphenon_E___Exome_Hepatocellular_Carcinoma	Mouse_Liver_Theaphenon_E
Lung_No_Treatment___Exome_Lung_Non-Small_Cell_Carcinoma	Mouse_Lung_No_treatment
Lung_No_Treatment_KRAS(LA2)__Exome_Lung_Non-Small_Cell_Carcinoma	Mouse_Lung_No_treatment
Lung_No_Treatment_KRAS+/-__Exome_Lung_Non-Small_Cell_Carcinoma	Mouse_Lung_No_treatment
"Skin_9,10-dimethyl-1,2-benzanthracene__Exome_Skin_Squamous_Cell_Carcinoma"	"Mouse_Skin_9,10-dimethyl-1,2-benzanthracene"
Skin_Ionizing_radiation_Nf1+/-__Exome_Skin_Squamous_Cell_Carcinoma	Mouse_Skin_Ionizing_radiation
Skin_No_Treatment_BRAF_V637E__Exome_Melanoma	Mouse_Skin_No_treatment
Skin_No_Treatment_KRAS_G12D/p53-__Exome_Skin_Squamous_Cell_Carcinoma	Mouse_Skin_No_treatment
Skin_No_Treatment_NRAS_Q61R__Exome_Melanoma	Mouse_Skin_No_treatment
Skin_UVA_BRAF_V637E__Exome_Melanoma	Mouse_Skin_UVA
Skin_UVA_NRAS_Q61R__Exome_Melanoma	Mouse_Skin_UVA
Skin_UVB_BRAF-V637E_Exome_Melanoma	Mouse_Skin_UVB
Skin_UVB_NRAS-Q61R_Exome_Melanoma	Mouse_Skin_UVB
Soft_Tissue_Ionizing_radiation___Exome_Soft_Tissue_Sarcoma	Mouse_Soft_tissue_Ionizing_radiation
Soft_Tissue_Ionizing_radiation_Nf1+/-__Exome_Soft_Tissue_Sarcoma	Mouse_Soft_tissue_Ionizing_radiation
Tongue_4-Nitroquinoline_N-oxide__Exome_Skin_Squamous_Cell_Carcinoma	Mouse_Tongue_4-Nitroquinoline_N-oxide
Tongue_4-Nitroquinoline_N-oxide_Syngeneic_Exome_Skin_Squamous_Cell_Carcinoma	Mouse_Tongue_4-Nitroquinoline_N-oxide
Bone_Marrow_ATC_Exome	Mouse_Bone_Marrow_5-aza-4-thio-2-deoxycytidine
Bone_Marrow_No_Treatment_Exome	Mouse_Bone_Marrow_No_treatment
