model,Exposure,Chemical_group,mean_mut_per_Mb,n_samples,group_potency_max_mut_per_Mb,x_order,y_order
iPSC,Acetaldehyde,Aldehyde,0.0163698,4,0.0163698,0,18
iPSC,Formaldehyde,Aldehyde,0.0135083,6,0.0135083,1,18
iPSC,Acrolein,Aldehyde,0.00872365,2,0.00872365,2,18
iPSC,Ellipticine,Alkaloid,0.0284643,10,0.0284643,3,18
iPSC,Camptothecin,Alkaloid,0.0086755,2,0.0086755,4,18
iPSC,Methyl methanesulfonate,Alkylating agent,0.0676793,2,370.202,5,18
C. elegans,Methyl methanesulfonate,Alkylating agent,370.202,38,370.202,5,33
Lung_cancer,N-methyl-N-nitrosourea,Alkylating agent,8.37505,26,8.37505,6,14
iPSC,N-methyl-N-nitrosourea,Alkylating agent,0.109232,3,8.37505,6,18
C. elegans,Ethyl methanesulfonate,Alkylating agent,4.14674,33,4.14674,7,33
iPSC,N-ethyl-N-nitrosourea,Alkylating agent,0.45945,3,3.88553,8,18
Brain_cancer,N-ethyl-N-nitrosourea,Alkylating agent,3.88553,5,3.88553,8,36
iPSC,Dimethyl Sulfate,Alkylating agent,0.0660624,3,0.759508,9,18
C. elegans,Dimethyl Sulfate,Alkylating agent,0.759508,28,0.759508,9,33
iPSC,Temozolomide,Alkylating agent,0.176465,5,0.176465,10,18
iPSC,Diethyl sulfate,Alkylating agent,0.13026,3,0.13026,11,18
iPSC,Semustine,Alkylating agent,0.017362,6,0.017362,12,18
MEF,Acrylamide,Amide,0.820346,13,0.820346,13,10
iPSC,Acrylamide,Amide,0.0111048,2,0.820346,13,18
Liver_cancer,Diethanolamine,Amine,0.0819041,5,0.0819041,14,16
iPSC,o-Anisidine,Aniline,0.00741848,4,0.00741848,15,18
iPSC,o-Toluidine,Aniline,0.00597648,2,0.00597648,16,18
MEF,"2-hydroxyamino-1-methyl-6-phenylimidazo[4,5-b]pyridine",Aromatic amine,3.37269,3,3.37269,17,10
MEF,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",Aromatic amine,0.904421,3,0.904421,18,10
iPSC,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",Aromatic amine,0.108296,7,0.904421,18,18
MEF,4-Aminobiphenyl,Aromatic amine,0.766736,3,0.766736,19,10
iPSC,4-Aminobiphenyl,Aromatic amine,0.0193655,4,0.766736,19,18
BEAS-2B,3-aminobiphenyl,Aromatic amine,0.0463861,5,0.0463861,20,39
iPSC,Benzidine,Aromatic amine,0.0374038,6,0.0374038,21,18
BEAS-2B,1-naphthylamine,Aromatic amine,0.0287198,5,0.0287198,22,39
iPSC,"2,6-dimethylaniline",Aromatic amine,0.0114065,4,0.0114065,23,18
iPSC,2-Naphthylamine,Aromatic amine,0.00962089,8,0.00962089,24,18
iPSC,"4,4'-Methylene(2-chloroaniline)",Aromatic amine,0.00803498,5,0.00803498,25,18
Liver_cancer,Cumene,Aromatic hydrocarbon,0.309712,5,0.309712,26,16
iPSC,Sudan I,Azo dye,0.0116701,2,0.0116701,27,18
h_Intestinal_organoids,Colibactin,Bacteria,0.282895,9,0.282895,28,27
Liver_cancer,Oxazepam,Benzodiazepine,0.0461749,5,0.0461749,29,16
iPSC,Potassium bromate,Bromate,0.0696321,6,0.0696321,30,18
U937,5-aza-4-thio-2-deoxycytidine,Cancer chemotherapy drug,18.0688,5,58.0784,31,0
Thymus_cancer,5-aza-4-thio-2-deoxycytidine,Cancer chemotherapy drug,13.3698,37,58.0784,31,3
Spleen_cancer,5-aza-4-thio-2-deoxycytidine,Cancer chemotherapy drug,22.4778,3,58.0784,31,5
Lymph_Node_cancer,5-aza-4-thio-2-deoxycytidine,Cancer chemotherapy drug,18.1,2,58.0784,31,13
CEM,5-aza-4-thio-2-deoxycytidine,Cancer chemotherapy drug,58.0784,5,58.0784,31,32
Bone_Marrow_cancer,5-aza-4-thio-2-deoxycytidine,Cancer chemotherapy drug,5.69394,11,58.0784,31,37
7298,5-aza-4-thio-2-deoxycytidine,Cancer chemotherapy drug,3.88519,27,58.0784,31,41
