cosmic_signature,observed_cosine,null_median,null_p95,margin_over_null_p95,p_value,fdr,beats_chance_fdr5
SBS88,0.9916,0.5356,0.6688,0.3228,0.000999000999000999,0.00288283145426002,True
SBS90,0.9998,0.5393,0.8211,0.1787,0.000999000999000999,0.00288283145426002,True
SBS11,0.9917,0.7258,0.8227,0.169,0.000999000999000999,0.00288283145426002,True
SBS31,0.9619,0.6662,0.7939,0.168,0.000999000999000999,0.00288283145426002,True
SBS35,0.9318,0.6767,0.7677,0.164,0.000999000999000999,0.00288283145426002,True
SBS98,0.8495,0.5412,0.6902,0.1593,0.000999000999000999,0.00288283145426002,True
SBS85,0.9254,0.6733,0.7806,0.1448,0.000999000999000999,0.00288283145426002,True
SBS47,0.8485,0.5302,0.7048,0.1436,0.000999000999000999,0.00288283145426002,True
SBS7b,0.9435,0.6739,0.802,0.1415,0.000999000999000999,0.00288283145426002,True
SBS16,0.8376,0.5317,0.7069,0.1307,0.000999000999000999,0.00288283145426002,True
SBS45,0.9584,0.6791,0.8333,0.1251,0.00199800199800199,0.00517431286662055,True
SBS51,0.82,0.5733,0.6972,0.1228,0.000999000999000999,0.00288283145426002,True
SBS22c,0.9306,0.7142,0.8113,0.1193,0.000999000999000999,0.00288283145426002,True
SBS41,0.8778,0.5908,0.7634,0.1144,0.000999000999000999,0.00288283145426002,True
SBS58,0.8699,0.5933,0.7579,0.1121,0.000999000999000999,0.00288283145426002,True
SBS38,0.9038,0.6144,0.7932,0.1107,0.00399600399600399,0.0098438147218635,True
SBS7a,0.9257,0.603,0.8192,0.1065,0.000999000999000999,0.00288283145426002,True
SBS22a,0.9825,0.7272,0.8778,0.1048,0.000999000999000999,0.00288283145426002,True
SBS22b,0.9454,0.7207,0.8458,0.0996,0.000999000999000999,0.00288283145426002,True
SBS92,0.9397,0.7929,0.8539,0.0859,0.000999000999000999,0.00288283145426002,True
SBS112,0.9335,0.7902,0.8558,0.0776,0.000999000999000999,0.00288283145426002,True
SBS4,0.9957,0.8456,0.9191,0.0766,0.000999000999000999,0.00288283145426002,True
SBS111,0.9001,0.7529,0.8258,0.0743,0.000999000999000999,0.00288283145426002,True
SBS40a,0.98,0.876,0.9078,0.0722,0.000999000999000999,0.00288283145426002,True
SBS101,0.9425,0.7539,0.8718,0.0706,0.000999000999000999,0.00288283145426002,True
SBS100,0.9897,0.8518,0.9211,0.0686,0.000999000999000999,0.00288283145426002,True
SBS94,0.9435,0.7943,0.8785,0.065,0.000999000999000999,0.00288283145426002,True
SBS109,0.9633,0.8463,0.8985,0.0648,0.000999000999000999,0.00288283145426002,True
SBS18,0.9603,0.782,0.8965,0.0637,0.000999000999000999,0.00288283145426002,True
SBS95,0.9849,0.8531,0.9217,0.0632,0.000999000999000999,0.00288283145426002,True
SBS36,0.9329,0.7286,0.8727,0.0602,0.00799200799200799,0.0183452910725638,True
SBS25,0.9564,0.8331,0.9008,0.0556,0.000999000999000999,0.00288283145426002,True
SBS9,0.7404,0.6328,0.6853,0.0551,0.00199800199800199,0.00517431286662055,True
SBS40b,0.8207,0.7236,0.767,0.0537,0.000999000999000999,0.00288283145426002,True
SBS113,0.8366,0.5852,0.7836,0.053,0.0169830169830169,0.0343056943056943,True
SBS5,0.9773,0.8973,0.925,0.0523,0.000999000999000999,0.00288283145426002,True
SBS89,0.8508,0.7534,0.801,0.0499,0.000999000999000999,0.00288283145426002,True
SBS40c,0.9554,0.891,0.9116,0.0438,0.000999000999000999,0.00288283145426002,True
SBS23,0.8795,0.7271,0.8361,0.0434,0.0129870129870129,0.0285149632975719,True
SBS10c,0.8496,0.6632,0.8066,0.043,0.0139860139860139,0.0294289044289044,True
SBS24,0.9373,0.8149,0.8949,0.0424,0.00199800199800199,0.00517431286662055,True
SBS29,0.9646,0.8477,0.9231,0.0415,0.00199800199800199,0.00517431286662055,True
SBS93,0.7588,0.6373,0.7194,0.0393,0.0139860139860139,0.0294289044289044,True
SBS57,0.7012,0.5164,0.6631,0.038,0.00699300699300699,0.0164254350300861,True
SBS104,0.7382,0.6213,0.7014,0.0369,0.0119880119880119,0.0269064269064269,True
SBS8,0.9322,0.8457,0.8969,0.0353,0.00299700299700299,0.00756743256743256,True
SBS3,0.9031,0.8441,0.8729,0.0302,0.000999000999000999,0.00288283145426002,True
SBS1,0.7927,0.556,0.7641,0.0285,0.0289710289710289,0.0541865541865541,False
SBS108,0.8653,0.7624,0.8416,0.0237,0.0159840159840159,0.0329466451915431,True
SBS12,0.928,0.8611,0.9062,0.0218,0.00699300699300699,0.0164254350300861,True
SBS19,0.8657,0.6888,0.8466,0.0191,0.0329670329670329,0.0605394605394605,False
SBS42,0.8526,0.7219,0.835,0.0176,0.0289710289710289,0.0541865541865541,False
SBS102,0.9723,0.9387,0.9577,0.0145,0.000999000999000999,0.00288283145426002,True
